Timestamp:,2022-01-31T13:47:37.405364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Laser line number: ,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Laser line name:, STATION2CREP_100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Laser image name:, STATION2CREP ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Starting X:,72366.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Starting Y:,77661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Starting Z:,32127.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Spot size:,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Spot spacing:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Number of shots:,2514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Direction of ablation:,0,Left to Right ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cycle time (ms),x [um],y [um],23Na cps,24Mg cps,27Al cps,28Si cps,29Si cps,30Si cps,31P cps,39K cps,43Ca cps,44Ca cps,45Sc cps,48Ca cps,49Ti cps,51V cps,52Cr cps,55Mn cps,56Fe cps,59Co cps,60Ni cps,63Cu cps,64Zn cps,69Ga cps,72Ge cps,75As cps,80Se cps,84Sr cps,85Rb cps,86Sr cps,88Sr cps,89Y cps,90Zr cps,93Nb cps,95Mo cps,101Ru cps,103Rh cps,105Pd cps,107Ag cps,111Cd cps,115In cps,120Sn cps,123Sb cps,124Te cps,133Cs cps,138Ba cps,139La cps,140Ce cps,141Pr cps,146Nd cps,149Sm cps,153Eu cps,157Gd cps,159Tb cps,163Dy cps,165Ho cps,166Er cps,169Tm cps,172Yb cps,175Lu cps,178Hf cps,181Ta cps,182W cps,185Re cps,189Os cps,193Ir cps,195Pt cps,197Au cps,202Hg cps,205Tl cps,208Pb cps,209Bi cps,232Th cps,238U cps
39287.7716,72416.42,77661,594.55,19.72,0,497.22,153.56,98.73,158.73,0,0,25.88,0,0,0,0,209.15,18.35,264.1,0,0,30.52,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39300.554,72421.42,77661,920.49,626.49,124.62,7134.46,312.76,173.1,188.98,0,0,120.3,0,0,0,0,99.25,46.7,183,0,0,0,0,0,0,0,0,0,0,16.95,26.4,0,0,0,0,0,0,0,12.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39313.3364,72426.42,77661,942.3,207.57,15.65,4969.29,202.66,283.55,217.84,0,0,116.5,0,0,0,0,77.04,0,319.62,0,0,0,0,0,0,0,0,0,0,49,75.21,0,0,0,0,0,0,0,12.35,0,0,0,0,0,0,35.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39326.1188,72431.42,77661,267.14,69.24,0,1448.67,109.04,234.52,251.02,0,0,75.88,0,0,0,0,0,0,134.67,0,13.36,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,60.67,0,0,0,0,40.18,0,0,35.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39337.836,72436.42,77661,362.33,0,22.65,740.92,357.66,388.13,49.24,0,0,28.6,0,0,0,0,0,0,27.88,0,0,0,0,0,0,64.35,0,0,12.55,0,0,0,0,0,0,0,0,0,30.6,0,0,0,0,39,27.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0
39350.6184,72441.42,77661,243.07,0,0,1995.23,176.53,99.5,37.09,0,0,25.95,20.4,0,0,0,16.7,0,43.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39363.4008,72446.42,77661,398.73,0,0,918.98,105.99,305.62,86.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9,0,20.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39376.1832,72451.42,77661,177.46,0,0,566.54,177.76,232.01,77.92,0,0,0,0,0,0,0,371.95,28,26.75,0,0,0,0,0,0,20.8,0,0,62.53,0,0,0,0,0,0,0,0,0,12,0,0,45.76,30.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39387.9004,72456.42,77661,143.96,86.19,0,1042.07,264.31,261.28,17.96,0,0,39.9,0,0,0,0,0,0,66.2,0,0,0,0,0,0,15.4,0,0,0,0,0,0,0,31.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39400.6828,72461.42,77661,157.53,59.36,0,748.85,78.38,256.4,64.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.85,0,0,0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
