"Element","Slope","R2"
"Na",4.91119644746107,0.993216196289812
"Mg",3.10503815356939,0.998564482567231
"Si",1.3035055591224,0.998529861488958
"P",1.46309854397408,0.905163019420185
"Mn",36.6681772991724,0.999724839379103
"Fe",32.5064449255045,0.999034873605383
"Cu",17.5659787332382,0.999997284505296
"Zn",4.31307996807777,0.998990099818733
